title,genre,description,rating
Interstellar,Sci-Fi,A team travels through space to save humanity,9
Inception,Sci-Fi,A thief enters dreams to steal secrets,9
Avengers,Action,Superheroes save the world from destruction,8
John Wick,Action,A retired assassin seeks revenge,8
Titanic,Romance,A tragic love story on the Titanic ship,7
The Notebook,Romance,A beautiful emotional love story,8
Avatar,Adventure,A marine explores an alien world,9
Iron Man,Action,A billionaire builds a powerful suit,8
Gravity,Sci-Fi,Astronauts struggle to survive in space,8
Joker,Drama,A man slowly becomes a criminal mastermind,9
The Dark Knight,Action,Batman faces the Joker in Gotham,9
Doctor Strange,Sci-Fi,A surgeon learns magical powers,8
Mad Max Fury Road,Action,Survivors fight in a desert wasteland,8
The Martian,Sci-Fi,A stranded astronaut survives on Mars,9
Frozen,Animation,A magical princess saves her kingdom,8
Finding Nemo,Animation,A fish searches for his lost son,8
Conjuring,Horror,Paranormal investigators fight evil spirits,8
Annabelle,Horror,A haunted doll terrorizes a family,7
The Nun,Horror,A demonic nun haunts a monastery,7
Shutter Island,Thriller,A detective investigates a mystery island,9
Fight Club,Drama,An underground fighting club changes lives,9
Forrest Gump,Drama,A man experiences major moments in history,9
Gladiator,Adventure,A Roman warrior seeks revenge,9
Harry Potter,Fantasy,A young wizard attends magic school,9
Lord of the Rings,Fantasy,A journey to destroy a powerful ring,10
Pirates of the Caribbean,Adventure,Pirates search for cursed treasure,8
Black Panther,Action,A king protects Wakanda using advanced technology,8
Spider-Man No Way Home,Action,Multiple Spider-Men unite to save reality,9
Deadpool,Comedy,A funny antihero fights criminals,8
The Hangover,Comedy,Friends lose the groom during a wild trip,7
